"letzter Abo - Auftrag: Auftrag";"letzter Abo - Auftrag: Kündigung erfasst am";"SAP GP Nummer";"Emailkontakt Text"
"2115181692-0010";"25.03.2026";"0019559218";"SHZV-Ja"
"2115181693-0010";"25.03.2026";"0019559227";"SHZV-Ja"
"2110269951-0030";"25.03.2026";"0016650691";""
"2110281895-0010";"25.03.2026";"0016216849";"Global-Nein"
"2114014599-0010";"25.03.2026";"0016128897";"Global-Nein"
"2114157266-0010";"25.03.2026";"0019371162";"Global-Nein"
"2114596697-0010";"25.03.2026";"0019292284";""
"2114687406-0010";"25.03.2026";"0019504931";"SHZV-Ja"
"2111618578-0010";"25.03.2026";"0017826972";"SHZV-Nein"
"2111617300-0010";"25.03.2026";"0017824837";"Global-Nein"
"2111951761-0010";"25.03.2026";"0018591330";"Global-Nein"
"2110917216-0010";"25.03.2026";"0018163924";""
"2110458572-0020";"25.03.2026";"0016003406";""
"2110468729-0010";"25.03.2026";"0016013255";"Global-Nein"
"2112813636-0010";"25.03.2026";"0017092296";"Global-Nein"
"2110359509-0010";"25.03.2026";"0016346628";"Global-Nein"
"2110459440-0080";"25.03.2026";"0017082287";"SHZV-Nein"
"2114638580-0010";"25.03.2026";"0016111731";"SHZV-Ja"
"2110215938-0040";"25.03.2026";"0016147671";"Global-Nein"
"2112424566-0010";"25.03.2026";"0018764640";"SHZV-Ja"
"2114473333-0010";"25.03.2026";"0016215893";"SHZV-Nein"
"2114832808-0010";"25.03.2026";"0018602345";"SHZV-Ja"
"2115169932-0010";"25.03.2026";"0016701607";"SHZV-Ja"
"2112133224-0010";"25.03.2026";"0018491327";"Global-Nein"
"2110451318-0010";"25.03.2026";"0017316425";""
"2114741354-0010";"25.03.2026";"0018715455";"BEIV-Ja;SHZV-Ja;HBWV-Nein"
"2110415299-0050";"25.03.2026";"0017040150";"SHZV-Nein"
"2114672168-0010";"25.03.2026";"0018499208";""
"2114849137-0010";"25.03.2026";"0017029584";""
"2113342262-0010";"25.03.2026";"0018896291";""
"2112478502-0010";"25.03.2026";"0016494818";""
"2112725868-0010";"25.03.2026";"0018150828";"SHZV-Nein"
"2113346233-0010";"25.03.2026";"0019108676";"NOZA-Nein"
"2114450647-0020";"25.03.2026";"0019446304";"SHZV-Ja"
"2114242430-0010";"25.03.2026";"0018941361";""
"2114243712-0010";"25.03.2026";"0019156176";""
"2114310538-0010";"25.03.2026";"0018801575";"SHZV-Ja"
"2114642696-0010";"25.03.2026";"0019493127";"SHZV-Ja"
"2114686109-0010";"25.03.2026";"0019497898";"SHZV-Nein"
"2114730526-0010";"25.03.2026";"0018568762";"SHZV-Ja"
"2114742026-0010";"25.03.2026";"0019518073";""
"2114994669-0010";"25.03.2026";"0018515166";"BEIV-Ja;SHZV-Ja"
"2115081684-0010";"25.03.2026";"0018680592";"SHZV-Ja"
"2115106911-0010";"25.03.2026";"0018237331";"SHZV-Ja"
"2115112784-0010";"25.03.2026";"0019606558";""
"2115139193-0020";"25.03.2026";"0019611914";""
"2115139983-0010";"25.03.2026";"0018587771";"SHZV-Ja"
"2115141159-0010";"25.03.2026";"0019412422";"SHZV-Ja"
"2115142755-0010";"25.03.2026";"0019612746";"SHZV-Ja"
"2115145048-0010";"25.03.2026";"0019613138";"SHZV-Ja"
"2115146492-0020";"25.03.2026";"0019613382";""
"2115148887-0010";"25.03.2026";"0019613770";"SHZV-Nein"
"2115154021-0010";"25.03.2026";"0016172313";""
"2115142989-0010";"25.03.2026";"0016110762";"SHZV-Ja"
"2115175010-0010";"25.03.2026";"0019620101";"Global-Nein"
"2115174981-0010";"25.03.2026";"0019620078";"Global-Nein"
"2115177165-0010";"25.03.2026";"0019364204";"BEIV-Ja;SHZV-Ja"
"2115177253-0010";"25.03.2026";"0019029553";"SHZV-Ja"
"2115178719-0010";"25.03.2026";"0018407531";""
"2115178777-0010";"25.03.2026";"0016477448";"BEIV-Ja;SHZV-Ja"
"2115179188-0010";"25.03.2026";"0019621167";"SHZV-Ja"
"2115180595-0010";"25.03.2026";"0019621469";""
"2115181179-0010";"25.03.2026";"0019621578";""
"2115181156-0010";"25.03.2026";"0019370886";"SHZV-Ja"
"2115181153-0010";"25.03.2026";"0019621567";""
"2113950780-0010";"25.03.2026";"0016213641";"SHZV-Ja"
"2111619083-0010";"25.03.2026";"0017827996";"Global-Nein"
"2115158453-0010";"25.03.2026";"0018904461";"SHZV-Ja"
"2115161996-0020";"25.03.2026";"0019616320";""
"2115181555-0010";"25.03.2026";"0019621660";"SHZV-Ja"
"2115181542-0010";"25.03.2026";"0019570940";"SHZV-Ja"
"2115180038-0010";"25.03.2026";"0018867967";"Global-Nein"
"2115181644-0010";"25.03.2026";"0019621681";"SHZV-Ja"
"2110335549-0040";"25.03.2026";"0016251172";"SHZV-Ja"
"2115038300-0010";"26.03.2026";"0017405025";""
"2110209176-0010";"26.03.2026";"0016140771";""
"2110217486-0010";"26.03.2026";"0016518878";""
"2112986700-0010";"26.03.2026";"0018978257";""
"2110367007-0010";"26.03.2026";"0017342153";""
"2114100762-0020";"26.03.2026";"0019218764";"SHZV-Ja"
"2113473032-0010";"26.03.2026";"0017290674";"SHZV-Ja"
"2114241039-0010";"26.03.2026";"0018598828";""
"2114626451-0010";"26.03.2026";"0016534801";"SHZV-Ja"
"2114731438-0020";"26.03.2026";"0019251971";"SHZV-Nein"
"2114835708-0010";"26.03.2026";"0019297992";"SHZV-Nein"
"2114899504-0010";"26.03.2026";"0019448672";"SHZV-Ja"
"2115029197-0010";"26.03.2026";"0016048845";"SHZV-Ja"
"2115039874-0010";"26.03.2026";"0018731169";"BEIV-Ja;SHZV-Ja"
"2115135891-0010";"26.03.2026";"0017834971";"BEIV-Ja;SHZV-Ja"
"2115174907-0010";"26.03.2026";"0019620021";"BEIV-Nein;SHZV-Ja"
"2114829594-0010";"26.03.2026";"0016314414";"SHZV-Ja"
"2114832262-0010";"26.03.2026";"0018980013";"SHZV-Ja"
"2110354016-0010";"26.03.2026";"0016136026";"SHZV-Nein"
"2110310255-0060";"26.03.2026";"0016233106";"SHZV-Nein"
"2114028818-0010";"26.03.2026";"0016422467";"SHZV-Ja"
"2114842718-0010";"26.03.2026";"0016049734";"Global-Nein"
"2113566925-0010";"26.03.2026";"0019187222";"Global-Nein"
"2110345825-0010";"26.03.2026";"0016118315";"SHZV-Ja"
"2110348180-0010";"26.03.2026";"0016308833";"Global-Nein"
"2110328110-0020";"26.03.2026";"0016099786";""
"2110495376-0010";"26.03.2026";"0016079851";"Global-Nein"
"2113330597-0010";"26.03.2026";"0019103376";"Global-Nein"
"2110340976-0010";"26.03.2026";"0016112380";"Global-Nein"
"2110407741-0030";"26.03.2026";"0017603277";""
"2112995657-0010";"26.03.2026";"0018981298";"Global-Nein"
"2114215015-0010";"26.03.2026";"0016212883";"Global-Nein"
"2114889894-0010";"26.03.2026";"0018871474";"Global-Nein"
"2113168742-0010";"26.03.2026";"0018430233";"SHZV-Nein"
"2115137328-0010";"26.03.2026";"0019206703";"SHZV-Ja"
"2111802339-0010";"26.03.2026";"0017404503";"BEIV-Ja;SHZV-Ja"
"2114316453-0010";"26.03.2026";"0019361910";"SHZV-Ja"
"2115139816-0010";"26.03.2026";"0019612089";""
"2115155494-0010";"26.03.2026";"0019615047";"SHZV-Ja"
"2115173679-0010";"26.03.2026";"0019619548";"SHZV-Ja"
"2114865755-0010";"26.03.2026";"0017621586";"SHZV-Ja"
"2115173801-0010";"26.03.2026";"0019619599";"BEIV-Ja;SHZV-Ja"
"2115178652-0010";"26.03.2026";"0019587129";"BEIV-Nein;SHZV-Nein"
"2115176956-0010";"26.03.2026";"0018188969";"SHZV-Ja"
"2115178380-0010";"26.03.2026";"0018353727";"SHZV-Ja"
"2115178382-0010";"26.03.2026";"0019313668";"SHZV-Nein"
"2115178432-0010";"26.03.2026";"0018928652";"SHZV-Ja"
"2115180064-0010";"26.03.2026";"0018787518";"BEIV-Ja"
"2115179765-0010";"26.03.2026";"0018604766";"SHZV-Ja"
"2115180565-0010";"26.03.2026";"0019179815";"SHZV-Ja"
"2115182478-0010";"26.03.2026";"0019565798";"SHZV-Ja"
"2115182494-0010";"26.03.2026";"0019621890";""
"2112130257-0010";"26.03.2026";"0017839398";""
"2114182431-0010";"26.03.2026";"0019240022";"SHZV-Ja"
"2114794202-0010";"26.03.2026";"0019395336";"BEIV-Ja;SHZV-Ja"
"2114967108-0010";"26.03.2026";"0019571535";"SHZV-Ja"
"2115182024-0010";"26.03.2026";"0019596068";""
"2115181666-0010";"26.03.2026";"0019474449";"SHZV-Ja"
"2110258409-0020";"26.03.2026";"0016027517";"SHZV-Ja"
"2115182732-0010";"26.03.2026";"0016254114";"SHZV-Ja"
"2113661914-0010";"27.03.2026";"0018124566";"BEIV-Ja;SHZV-Ja"
"2113485251-0010";"27.03.2026";"0019157323";""
"2110274376-0020";"27.03.2026";"0016429087";""
"2112126452-0010";"27.03.2026";"0017838798";"BEIV-Nein;SHZV-Nein"
"2114213659-0010";"27.03.2026";"0018028059";""
"2114303815-0010";"27.03.2026";"0018242937";"SHZV-Ja"
"2114599847-0010";"27.03.2026";"0018612176";"BEIV-Nein;SHZV-Ja"
"2113932297-0010";"27.03.2026";"0019282823";"SHZV-Ja"
"2114724035-0010";"27.03.2026";"0016070987";"SHZV-Ja"
"2114783119-0010";"27.03.2026";"0018550830";""
"2114821703-0010";"27.03.2026";"0016127248";"SHZV-Nein"
"2114908260-0020";"27.03.2026";"0019558908";"SHZV-Ja"
"2114921597-0010";"27.03.2026";"0019206534";""
"2114987030-0010";"27.03.2026";"0018943213";"SHZV-Nein"
"2115028688-0010";"27.03.2026";"0016325224";"SHZV-Ja;HBWV-Nein"
"2114850538-0010";"27.03.2026";"0018718592";"SHZV-Nein"
"2115155246-0010";"27.03.2026";"0019346540";"SHZV-Ja"
"2115165250-0010";"27.03.2026";"0019617048";""
"2111183042-0010";"27.03.2026";"0018033338";"Global-Nein"
"2114247722-0010";"27.03.2026";"0018269402";""
"2110341960-0010";"27.03.2026";"0016114457";"SHZV-Ja;SHZA-Nein"
"2110744847-0010";"27.03.2026";"0018102080";"Global-Nein"
"2111616258-0010";"27.03.2026";"0017823135";"Global-Nein"
"2110318237-0010";"27.03.2026";"0016091106";"SHZV-Nein"
"2110242003-0010";"27.03.2026";"0016180358";"SHZV-Nein"
"2110473386-0010";"27.03.2026";"0016016006";"Global-Nein"
"2110347095-0010";"27.03.2026";"0016119495";"Global-Nein"
"2113750500-0010";"27.03.2026";"0018551092";"Global-Nein"
"2114356083-0010";"27.03.2026";"0017835249";"BEIV-Ja"
"2113659441-0010";"27.03.2026";"0019219215";"SHZV-Ja"
"2114955100-0010";"27.03.2026";"0019568783";"Global-Nein"
"2115069838-0010";"27.03.2026";"0016258300";"Global-Nein"
"2115099809-0010";"27.03.2026";"0016031165";"Global-Nein"
"2114406613-0010";"27.03.2026";"0019435353";"SHZV-Ja"
"2114615208-0010";"27.03.2026";"0019128256";"SHZV-Ja"
"2110352422-0010";"27.03.2026";"0016132384";"SHZV-Nein"
"2110316382-0010";"27.03.2026";"0016089232";""
"2110243926-0020";"27.03.2026";"0016012691";""
"2112085183-0010";"27.03.2026";"0016206093";""
"2110301769-0010";"27.03.2026";"0016073830";"SHZV-Ja"
"2115176020-0010";"27.03.2026";"0018569827";"BEIV-Nein;SHZV-Ja"
"2115176809-0010";"27.03.2026";"0019620603";"SHZV-Nein"
"2115178469-0010";"27.03.2026";"0019064351";"BEIV-Ja;SHZV-Ja"
"2115182766-0010";"27.03.2026";"0019385500";"SHZV-Ja"
"2115182547-0010";"27.03.2026";"0019550296";"SHZV-Ja"
"2115182625-0010";"27.03.2026";"0019621911";"SHZV-Ja"
"2115182556-0010";"27.03.2026";"0019621900";"DKME-Ja;SHZV-Ja"
"2115182522-0010";"27.03.2026";"0019519234";"SHZV-Ja"
"2114835693-0010";"27.03.2026";"0019539083";"BEIV-Ja;SHZV-Ja"
"2111997970-0010";"28.03.2026";"0018577978";"SHZV-Ja"
"2110372855-0050";"28.03.2026";"0017649753";"SHZV-Nein"
"2110436364-0040";"28.03.2026";"0017055780";"SHZV-Ja"
"2113707382-0010";"28.03.2026";"0019144936";"SHZV-Ja"
"2114852522-0010";"28.03.2026";"0017481262";"SHZV-Nein"
"2111815646-0010";"28.03.2026";"0018539221";"SHZV-Nein"
"2114441614-0010";"28.03.2026";"0019443897";"Global-Nein"
"2110307138-0030";"28.03.2026";"0016466414";"SHZV-Nein"
"2114767166-0010";"28.03.2026";"0018633003";"SHZV-Ja"
"2114919587-0010";"28.03.2026";"0019558420";"SHZV-Nein"
"2110315888-0010";"28.03.2026";"0016088343";"SHZV-Nein"
"2114927626-0010";"28.03.2026";"0016149450";"SHZV-Ja"
"2112353894-0010";"28.03.2026";"0018737468";"SHZV-Ja"
"2115177182-0010";"28.03.2026";"0017036063";"SHZV-Ja"
"2114984802-0010";"28.03.2026";"0017006536";"SHZV-Ja"
"2114613111-0010";"29.03.2026";"0016390872";"SHZV-Ja"
"2114076507-0010";"29.03.2026";"0019334839";"Global-Nein"
"2114431337-0010";"29.03.2026";"0019256930";"BEIV-Ja;SHZV-Ja"
"2114694626-0020";"29.03.2026";"0019478954";"SHZV-Ja"
"2114808988-0010";"29.03.2026";"0019137416";"SHZV-Ja"
"2114921591-0010";"29.03.2026";"0017842189";"SHZV-Ja"
"2114960269-0010";"29.03.2026";"0019569944";"SHZV-Ja"
"2112392318-0010";"29.03.2026";"0016108539";""
"2114477908-0010";"29.03.2026";"0018684852";"SHZV-Ja"
"2112819593-0010";"29.03.2026";"0018907277";"SHZV-Ja"
"2112937328-0010";"29.03.2026";"0018646001";"SHZV-Ja"
"2112940581-0010";"29.03.2026";"0018951005";"BEIV-Ja;SHZV-Ja"
"2110394616-0030";"29.03.2026";"0017026668";"SHZV-Ja"
"2114126402-0010";"29.03.2026";"0018616986";"Global-Nein"
"2114614867-0010";"29.03.2026";"0019470253";"SHZV-Ja"
"2115155586-0010";"29.03.2026";"0019613361";"SHZV-Ja"
"2115174096-0010";"29.03.2026";"0019619846";"SHZV-Ja"
"2111808644-0010";"30.03.2026";"0018079213";""
"2113056031-0010";"30.03.2026";"0018641203";""
"2113160570-0010";"30.03.2026";"0017526895";""
"2114636016-0020";"30.03.2026";"0019315479";"SHZV-Ja"
"2114467861-0010";"30.03.2026";"0018508015";"SHZV-Ja"
"2114585092-0010";"30.03.2026";"0016741625";"SHZV-Nein"
"2114681197-0010";"30.03.2026";"0017588495";"SHZV-Ja"
"2114842768-0010";"30.03.2026";"0019079403";"Global-Nein"
"2114476504-0010";"30.03.2026";"0016240801";""
"2114872184-0010";"30.03.2026";"0019124469";"SHZV-Ja"
"2114907759-0010";"30.03.2026";"0019222635";"SHZV-Nein"
"2110282090-0060";"30.03.2026";"0016440238";"SHZV-Nein"
"2115179932-0010";"30.03.2026";"0016173451";"SHZV-Ja"
"2110304342-0020";"30.03.2026";"0016673299";"SHZV-Nein"
"2113575934-0010";"30.03.2026";"0019190692";"SHZV-Ja"
"2110220801-0010";"30.03.2026";"0016364198";"SHZV-Nein"
"2114022396-0010";"30.03.2026";"0018618439";"SHZV-Nein"
"2114241833-0010";"30.03.2026";"0018809546";"SHZV-Ja"
"2114607007-0010";"30.03.2026";"0019461217";"SHZV-Ja"
"2115155841-0010";"30.03.2026";"0019274762";"Global-Nein"
"2110238963-0020";"30.03.2026";"0016008470";""
"2112442996-0010";"30.03.2026";"0016653264";"SHZV-Nein"
"2110273149-0040";"30.03.2026";"0016212136";"SHZV-Nein"
"2114245562-0010";"30.03.2026";"0019331523";""
"2110483203-0010";"30.03.2026";"0017401171";""
"2113704853-0010";"30.03.2026";"0018597066";"SHZV-Ja"
"2114665415-0020";"30.03.2026";"0019164936";"SHZV-Ja"
"2114666526-0010";"30.03.2026";"0018974236";"SHZV-Ja"
"2114522898-0010";"30.03.2026";"0019255849";"SHZV-Ja"
"2114783876-0010";"30.03.2026";"0019078089";"SHZV-Nein"
"2114797386-0010";"30.03.2026";"0018596746";"BEIV-Ja;SHZV-Ja"
"2114808352-0010";"30.03.2026";"0018248147";"BEIV-Ja;SHZV-Ja"
"2114812616-0020";"30.03.2026";"0019257846";"SHZV-Ja"
"2114882785-0010";"30.03.2026";"0018495625";"SHZV-Ja"
"2110359423-0010";"30.03.2026";"0016346238";"SHZV-Ja"
"2110375200-0010";"30.03.2026";"0017011700";""
"2112897128-0010";"30.03.2026";"0017035308";"SHZV-Ja"
"2114555323-0010";"30.03.2026";"0017729135";"BEIV-Ja;SHZV-Ja"
"2112615121-0010";"30.03.2026";"0017846771";"SHZV-Ja"
"2112928943-0010";"30.03.2026";"0016073768";""
"2114838587-0010";"30.03.2026";"0016675369";"SHZV-Ja"
"2114828928-0010";"30.03.2026";"0019474474";"SHZV-Ja"
"2115176946-0010";"30.03.2026";"0018418181";"SHZV-Ja"
"2114744066-0010";"30.03.2026";"0019244897";"BEIV-Ja;SHZV-Ja"
"2110340897-0010";"30.03.2026";"0016112230";""
"2114818528-0010";"30.03.2026";"0019210026";"SHZV-Ja"
"2115179851-0010";"30.03.2026";"0019215191";"SHZV-Ja"
"2115181957-0010";"30.03.2026";"0019434314";""
"2115182096-0010";"30.03.2026";"0019511922";"BEIV-Ja;SHZV-Ja"
"2115183264-0010";"30.03.2026";"0019527679";"SHZV-Nein"
"2115183261-0010";"30.03.2026";"0018912643";"SHZV-Ja"
"2113656309-0010";"30.03.2026";"0016356832";"SHZV-Ja"
"2114825239-0010";"30.03.2026";"0018861659";"SHZV-Ja"
"2110267110-0010";"31.03.2026";"0016649308";"BEIV-Ja;SHZV-Ja"
"2113082577-0010";"31.03.2026";"0018989717";"BEIV-Ja;SHZV-Ja"
"2110481826-0010";"31.03.2026";"0017400935";"Global-Nein"
"2110374929-0040";"31.03.2026";"0017206535";"SHZV-Ja"
"2111433029-0030";"31.03.2026";"0018358352";"SHZV-Ja"
"2110334407-0010";"31.03.2026";"0016105195";"SHZV-Nein"
"2110816938-0010";"31.03.2026";"0017790176";""
"2113856329-0010";"31.03.2026";"0018684395";"SHZV-Ja"
"2113738150-0010";"31.03.2026";"0019078188";"SHZV-Nein"
"2114242566-0010";"31.03.2026";"0018979978";"SHJV-Ja"
"2114324897-0010";"31.03.2026";"0019413289";""
"2114633286-0010";"31.03.2026";"0017352496";"SHZV-Ja"
"2114578980-0010";"31.03.2026";"0017615666";"SHZV-Ja"
"2114596774-0010";"31.03.2026";"0016659081";"SHZV-Ja"
"2114741968-0020";"31.03.2026";"0019518056";"SHZV-Ja"
"2114786589-0010";"31.03.2026";"0017837947";"BEIV-Nein"
"2115053239-0010";"31.03.2026";"0019593012";""
"2115079831-0010";"31.03.2026";"0018671511";"SHZV-Ja"
"2115109028-0010";"31.03.2026";"0016397864";"SHZV-Ja"
"2115089440-0010";"31.03.2026";"0016482044";"SHZV-Nein"
"2110336650-0040";"31.03.2026";"0016498224";"SHZV-Ja"
"2110509280-0020";"31.03.2026";"0017424418";""
"2111469117-0010";"31.03.2026";"0018359734";"Global-Nein"
"2110677666-0010";"31.03.2026";"0018068506";"Global-Nein"
"2112031109-0010";"31.03.2026";"0018612097";""
"2114793123-0010";"31.03.2026";"0018894910";"Global-Nein"
"2115168573-0010";"31.03.2026";"0019617896";"Global-Nein"
"2115182898-0010";"31.03.2026";"0019621972";""
"2110298853-0010";"31.03.2026";"0016667882";""
"2110309655-0010";"31.03.2026";"0016082300";"Global-Nein"
"2110283501-0010";"31.03.2026";"0016217389";"Global-Nein"
"2110273401-0010";"31.03.2026";"0016212381";"Global-Nein"
"2112073763-0010";"31.03.2026";"0016303189";""
"2113819329-0010";"31.03.2026";"0017667582";"Global-Nein"
"2115024947-0010";"31.03.2026";"0016441569";"SHZV-Nein"
"2113115991-0010";"31.03.2026";"0019023421";""
"2113649932-0010";"31.03.2026";"0017610511";"SHZV-Ja"
"2114311920-0020";"31.03.2026";"0019310117";"SHZV-Ja"
"2114482419-0010";"31.03.2026";"0018191511";"SHZV-Ja"
"2114630789-0010";"31.03.2026";"0019201689";"SHZV-Ja"
"2114730688-0010";"31.03.2026";"0016511790";"SHZV-Ja"
"2114928175-0020";"31.03.2026";"0019247275";"SHZV-Ja"
"2110268501-0010";"31.03.2026";"0016039251";"SHZV-Ja"
"2115109506-0010";"31.03.2026";"0019567587";"SHZV-Ja"
"2114887310-0010";"31.03.2026";"0017071592";"SHZV-Ja"
"2112128722-0010";"31.03.2026";"0017840147";"SHZV-Ja"
"2112126615-0010";"31.03.2026";"0017835062";"SHZV-Ja"
"2112343846-0010";"31.03.2026";"0017838376";"SHZV-Ja"
"2114201276-0010";"31.03.2026";"0019153562";"BEIV-Nein;SHZV-Ja"
"2114798205-0010";"31.03.2026";"0018239778";"SHZV-Ja"
"2115179146-0010";"31.03.2026";"0019621149";"SHZV-Ja"
"2115179947-0010";"31.03.2026";"0019619451";"SHZV-Ja"
"2114821369-0010";"31.03.2026";"0016116265";"SHZV-Ja"
"2114146613-0010";"31.03.2026";"0019325572";"SHZV-Ja"
"2114793351-0010";"31.03.2026";"0018942999";"BEIV-Nein;SHZV-Nein"
"2115135442-0020";"31.03.2026";"0019611123";""
"2115142003-0020";"31.03.2026";"0019612578";""
"2115015889-0010";"31.03.2026";"0019583084";"SHZV-Ja"
"2113383512-0010";"31.03.2026";"0018677005";"SHZV-Ja"
"2115023337-0010";"31.03.2026";"0019450020";"SHZV-Nein;Global-Nein"
"2115177045-0010";"31.03.2026";"0019464773";""
"2115180541-0010";"31.03.2026";"0019621448";"SHZV-Ja"
"2115124638-0020";"31.03.2026";"0019608918";"SHZV-Nein"
"2115172859-0010";"31.03.2026";"0019170020";"SHZV-Nein"
"2115177014-0010";"31.03.2026";"0018675892";"SHZV-Ja"
"2115178319-0010";"31.03.2026";"0019620972";"SHZV-Ja"
"2115181004-0010";"31.03.2026";"0018649964";""
"2115180817-0010";"31.03.2026";"0019263876";"SHZV-Nein"
"2115181356-0010";"31.03.2026";"0018747386";""
"2115183266-0010";"31.03.2026";"0019622027";""
"2115183485-0010";"31.03.2026";"0019622079";""
"2115183454-0010";"31.03.2026";"0019622063";""
"2115184278-0010";"31.03.2026";"0019622304";""
"2112106043-0010";"31.03.2026";"0017247422";"SHZV-Ja"
"2110519646-0010";"31.03.2026";"0017340361";"BEIV-Nein;SHZV-Nein"
"2113985954-0010";"31.03.2026";"0016431259";"SHZV-Ja"
"2114801791-0010";"31.03.2026";"0017627906";"SHZV-Ja"
"2114835946-0010";"31.03.2026";"0016582531";"SHZV-Ja"
"2115183673-0010";"31.03.2026";"0019580480";"SHZV-Ja"
"2115184176-0010";"31.03.2026";"0019622281";"SHZV-Ja"
"2110348560-0060";"31.03.2026";"0016736569";"SHZV-Ja"
"2114212032-0010";"31.03.2026";"0017014907";"BEIV-Ja;SHZV-Ja"
"2110585010-0010";"01.04.2026";"0018020357";""
"2111619654-0010";"01.04.2026";"0018354229";""
"2110255858-0010";"01.04.2026";"0016204714";"SHZV-Nein"
"2110905182-0010";"01.04.2026";"0018158789";""
"2112222937-0020";"01.04.2026";"0018160071";""
"2114127763-0010";"01.04.2026";"0018903342";"BEIV-Ja;SHZV-Ja"
"2114246467-0010";"01.04.2026";"0019133238";"BEIV-Ja;SHZV-Ja"
"2114321830-0020";"01.04.2026";"0019151264";"SHZV-Nein"
"2114460340-0010";"01.04.2026";"0018956342";"SHZV-Ja"
"2114570586-0010";"01.04.2026";"0017840253";"BEIV-Nein;SHZV-Ja"
"2113781574-0010";"01.04.2026";"0019255115";"SHZV-Ja"
"2114689175-0010";"01.04.2026";"0016336496";"BEIV-Ja;SHZV-Ja"
"2114833345-0010";"01.04.2026";"0018169518";"SHZV-Nein"
"2114836950-0010";"01.04.2026";"0018340067";"SHZV-Ja"
"2114995278-0010";"01.04.2026";"0019248239";"SHZV-Ja"
"2115106910-0010";"01.04.2026";"0019532685";"SHZV-Ja"
"2115106456-0010";"01.04.2026";"0019338553";"SHZV-Ja"
"2115114768-0010";"01.04.2026";"0019367420";"SHZV-Ja"
"2115117626-0010";"01.04.2026";"0019141496";"SHZV-Nein"
"2115122375-0010";"01.04.2026";"0018065008";"BEIV-Nein;SHZV-Nein;SHJV-Nein"
"2115126244-0010";"01.04.2026";"0019244250";"SHZV-Ja"
"2115163472-0010";"01.04.2026";"0019614553";""
"2110344975-0010";"01.04.2026";"0016116069";"SHZV-Ja"
"2112827034-0010";"01.04.2026";"0016380356";"SHZV-Ja"
"2115177879-0010";"01.04.2026";"0016259012";"SHZV-Nein"
"2115178507-0010";"01.04.2026";"0016227309";"SHZV-Ja"
"2115178288-0010";"01.04.2026";"0016205787";"SHZV-Ja"
"2115178623-0010";"01.04.2026";"0018665122";"SHZV-Ja"
"2115179598-0010";"01.04.2026";"0016494467";"BEIV-Ja;SHZV-Nein"
"2115179756-0010";"01.04.2026";"0017271061";"SHZV-Nein"
"2115180927-0010";"01.04.2026";"0016201141";"SHZV-Ja"
"2115181125-0010";"01.04.2026";"0019289145";"SHZV-Ja"
"2110234690-0050";"01.04.2026";"0016005432";""
"2110460020-0010";"01.04.2026";"0016004702";""
"2112990994-0010";"01.04.2026";"0016035810";""
"2110774088-0020";"01.04.2026";"0018116198";""
"2110265880-0020";"01.04.2026";"0016649125";"Global-Nein"
"2113741347-0010";"01.04.2026";"0019243033";"SHZV-Nein"
"2114174347-0010";"01.04.2026";"0018021750";""
"2115056524-0010";"01.04.2026";"0018987300";"BEIV-Ja;SHZV-Ja"
"2112955523-0010";"01.04.2026";"0017861497";"Global-Nein"
"2110845543-0010";"01.04.2026";"0018140903";"Global-Nein"
"2110353540-0020";"01.04.2026";"0016320525";"Global-Nein"
"2110269956-0030";"01.04.2026";"0016211104";"Global-Nein"
"2110389819-0010";"01.04.2026";"0017663161";"Global-Nein"
"2114416641-0010";"01.04.2026";"0019114350";"Global-Nein"
"2114676344-0010";"01.04.2026";"0016025383";"Global-Nein"
"2112878034-0010";"01.04.2026";"0018935544";""
"2115108401-0010";"01.04.2026";"0016172003";"SHZV-Nein"
"2113536372-0010";"01.04.2026";"0019175596";""
"2110496050-0020";"01.04.2026";"0017625730";"SHZV-Ja"
"2113837410-0010";"01.04.2026";"0019255582";"SHZV-Ja"
"2113876376-0020";"01.04.2026";"0019167547";"Global-Nein"
"2113700087-0010";"01.04.2026";"0018665972";"BEIV-Ja"
"2114574817-0010";"01.04.2026";"0017403406";"BEIV-Ja;SHZV-Ja"
"2114592891-0010";"01.04.2026";"0018177363";"SHZV-Ja"
"2114714905-0010";"01.04.2026";"0019233714";"SHZV-Ja"
"2114647450-0010";"01.04.2026";"0018947754";"SHZV-Ja"
"2114812755-0020";"01.04.2026";"0016703386";"SHZV-Ja"
"2114838225-0010";"01.04.2026";"0018537309";"SHZV-Ja"
"2114884718-0010";"01.04.2026";"0019264590";"SHZV-Ja"
"2114912223-0010";"01.04.2026";"0019161316";"SHZV-Ja"
"2114977066-0020";"01.04.2026";"0018494802";"SHZV-Ja"
"2114823997-0010";"01.04.2026";"0019538075";"SHZV-Ja"
"2115111253-0010";"01.04.2026";"0018812444";"SHZV-Ja"
"2115111739-0010";"01.04.2026";"0018214983";"SHZV-Nein"
"2115164496-0010";"01.04.2026";"0019395140";"SHZV-Ja"
"2115182481-0010";"01.04.2026";"0019621886";"SHZV-Ja"
"2110468681-0020";"01.04.2026";"0016013151";""
"2113531482-0010";"01.04.2026";"0018614624";"SHZV-Ja"
"2115096729-0010";"01.04.2026";"0019212266";"SHZV-Ja"
"2114610192-0010";"01.04.2026";"0016547412";"SHZV-Nein;SHZA-Ja"
"2115143017-0010";"01.04.2026";"0019576101";"SHZV-Ja"
"2115172853-0010";"01.04.2026";"0019610702";""
